time,vehicle_id,x,y,speed,angle
0.0,1,304.8,5.1,0.0,0.0
0.1,1,304.8,5.13,0.26,0.0
0.2,1,304.8,5.17,0.49,0.0
0.3,1,304.8,5.25,0.74,0.0
0.4,1,304.8,5.35,0.96,0.0
0.5,1,304.8,5.47,1.21,0.0
0.6,1,304.8,5.61,1.46,0.0
0.7,1,304.8,5.78,1.66,0.0
0.8,1,304.8,5.96,1.85,0.0
0.9,1,304.8,6.17,2.08,0.0
1.0,1,304.8,6.4,2.25,0.0
1.1,1,304.8,6.64,2.43,0.0
1.2,1,304.8,6.9,2.63,0.0
1.3,1,304.8,7.18,2.82,0.0
1.4,1,304.8,7.48,2.98,0.0
1.5,1,304.8,7.8,3.18,0.0
1.6,1,304.8,8.13,3.32,0.0
1.7,1,304.8,8.48,3.46,0.0
1.8,1,304.8,8.84,3.63,0.0
1.9,1,304.8,9.22,3.82,0.0
2.0,1,304.8,9.63,4.05,0.0
2.1,1,304.8,10.05,4.28,0.0
2.2,1,304.8,10.5,4.42,0.0
2.3,1,304.8,10.95,4.57,0.0
2.4,1,304.8,11.43,4.78,0.0
2.5,1,304.8,11.92,4.93,0.0
2.6,1,304.8,12.44,5.12,0.0
2.7,1,304.8,12.96,5.28,0.0
2.8,1,304.8,13.51,5.45,0.0
2.9,1,304.8,14.07,5.61,0.0
3.0,1,304.8,14.65,5.84,0.0
3.1,1,304.8,15.26,6.1,0.0
3.2,1,304.8,15.9,6.32,0.0
3.3,1,304.8,16.55,6.54,0.0
3.4,1,304.8,17.23,6.8,0.0
3.5,1,304.8,17.93,7.03,0.0
3.6,1,304.8,18.66,7.26,0.0
3.7,1,304.8,19.41,7.47,0.0
3.8,1,304.8,20.17,7.63,0.0
3.9,1,304.8,20.95,7.78,0.0
4.0,1,304.8,21.74,7.94,0.0
4.1,1,304.8,22.56,8.17,0.0
4.2,1,304.8,23.4,8.4,0.0
4.3,1,304.8,24.26,8.57,0.0
4.4,1,304.8,25.14,8.8,0.0
4.5,1,304.8,26.03,8.95,0.0
4.6,1,304.8,26.94,9.09,0.0
4.7,1,304.8,27.87,9.31,0.0
4.8,1,304.8,28.82,9.48,0.0
4.9,1,304.8,29.79,9.67,0.0
5.0,1,304.8,30.77,9.86,0.0
5.0,2,295.2,594.9,0.0,180.0
5.1,1,304.8,31.78,10.05,0.0
5.1,2,295.2,594.87,0.26,180.0
5.2,1,304.8,32.8,10.21,0.0
5.2,2,295.2,594.82,0.5,180.0
5.3,1,304.8,33.84,10.45,0.0
5.3,2,295.2,594.75,0.73,180.0
5.4,1,304.8,34.91,10.63,0.0
5.4,2,295.2,594.66,0.96,180.0
5.5,1,304.8,35.98,10.79,0.0
5.5,2,295.2,594.54,1.17,180.0
5.6,1,304.8,37.09,11.04,0.0
5.6,2,295.2,594.4,1.39,180.0
5.7,1,304.8,38.21,11.22,0.0
5.7,2,295.2,594.24,1.58,180.0
5.8,1,304.8,39.35,11.35,0.0
5.8,2,295.2,594.06,1.81,180.0
5.9,1,304.8,40.51,11.61,0.0
5.9,2,295.2,593.86,1.97,180.0
6.0,1,304.8,41.69,11.81,0.0
6.0,2,295.2,593.65,2.15,180.0
6.1,1,304.8,42.89,12.03,0.0
6.1,2,295.2,593.41,2.36,180.0
6.2,1,304.8,44.12,12.25,0.0
6.2,2,295.2,593.16,2.49,180.0
6.3,1,304.8,45.36,12.42,0.0
6.3,2,295.2,592.9,2.64,180.0
6.4,1,304.8,46.62,12.64,0.0
6.4,2,295.2,592.62,2.83,180.0
6.5,1,304.8,47.91,12.87,0.0
6.5,2,295.2,592.31,3.05,180.0
6.6,1,304.8,49.21,13.02,0.0
6.6,2,295.2,591.99,3.22,180.0
6.7,1,304.8,50.53,13.15,0.0
6.7,2,295.2,591.64,3.47,180.0
6.8,1,304.8,51.83,13.08,0.0
6.8,2,295.2,591.28,3.65,180.0
6.9,1,304.8,53.15,13.11,0.0
6.9,2,295.2,590.89,3.85,180.0
7.0,1,304.8,54.46,13.17,0.0
7.0,2,295.2,590.49,4.05,180.0
7.1,1,304.8,55.78,13.13,0.0
7.1,2,295.2,590.06,4.23,180.0
7.2,1,304.8,57.09,13.11,0.0
7.2,2,295.2,589.63,4.37,180.0
7.3,1,304.8,58.39,13.04,0.0
7.3,2,295.2,589.18,4.51,180.0
7.4,1,304.8,59.7,13.08,0.0
7.4,2,295.2,588.71,4.66,180.0
7.5,1,304.8,61.0,13.06,0.0
7.5,2,295.2,588.23,4.83,180.0
7.6,1,304.8,62.32,13.11,0.0
7.6,2,295.2,587.73,5.0,180.0
7.7,1,304.8,63.62,13.07,0.0
7.7,2,295.2,587.2,5.23,180.0
7.8,1,304.8,64.93,13.06,0.0
7.8,2,295.2,586.66,5.43,180.0
7.9,1,304.8,66.24,13.14,0.0
7.9,2,295.2,586.1,5.62,180.0
8.0,1,304.8,67.55,13.11,0.0
8.0,2,295.2,585.52,5.77,180.0
8.1,1,304.8,68.86,13.1,0.0
8.1,2,295.2,584.93,5.94,180.0
8.2,1,304.8,70.17,13.05,0.0
8.2,2,295.2,584.32,6.09,180.0
8.3,1,304.8,71.48,13.08,0.0
8.3,2,295.2,583.69,6.31,180.0
8.4,1,304.8,72.79,13.16,0.0
8.4,2,295.2,583.04,6.51,180.0
8.5,1,304.8,74.1,13.05,0.0
8.5,2,295.2,582.37,6.66,180.0
8.6,1,304.8,75.41,13.15,0.0
8.6,2,295.2,581.69,6.8,180.0
8.7,1,304.8,76.72,13.11,0.0
8.7,2,295.2,581.0,6.95,180.0
8.8,1,304.8,78.04,13.13,0.0
8.8,2,295.2,580.29,7.12,180.0
8.9,1,304.8,79.34,13.06,0.0
8.9,2,295.2,579.55,7.31,180.0
9.0,1,304.8,80.66,13.16,0.0
9.0,2,295.2,578.8,7.54,180.0
9.1,1,304.8,81.97,13.13,0.0
9.1,2,295.2,578.02,7.77,180.0
9.2,1,304.8,83.29,13.14,0.0
9.2,2,295.2,577.23,7.94,180.0
9.3,1,304.8,84.6,13.14,0.0
9.3,2,295.2,576.42,8.08,180.0
9.4,1,304.8,85.9,13.05,0.0
9.4,2,295.2,575.59,8.28,180.0
9.5,1,304.8,87.22,13.11,0.0
9.5,2,295.2,574.75,8.49,180.0
9.6,1,304.8,88.53,13.13,0.0
9.6,2,295.2,573.88,8.63,180.0
9.7,1,304.8,89.84,13.07,0.0
9.7,2,295.2,573.0,8.87,180.0
9.8,1,304.8,91.14,13.08,0.0
9.8,2,295.2,572.08,9.12,180.0
9.9,1,304.8,92.45,13.07,0.0
9.9,2,295.2,571.15,9.34,180.0
10.0,1,304.8,93.76,13.13,0.0
10.0,2,295.2,570.2,9.49,180.0
10.0,3,304.8,5.1,0.0,0.0
10.1,1,304.8,95.07,13.09,0.0
10.1,2,295.2,569.23,9.7,180.0
10.1,3,304.8,5.12,0.25,0.0
10.2,1,304.8,96.39,13.13,0.0
10.2,2,295.2,568.25,9.85,180.0
10.2,3,304.8,5.17,0.5,0.0
10.3,1,304.8,97.69,13.06,0.0
10.3,2,295.2,567.25,9.99,180.0
10.3,3,304.8,5.25,0.72,0.0
10.4,1,304.8,99.01,13.16,0.0
10.4,2,295.2,566.23,10.13,180.0
10.4,3,304.8,5.34,0.95,0.0
10.5,1,304.8,100.32,13.13,0.0
10.5,2,295.2,565.19,10.39,180.0
10.5,3,304.8,5.46,1.16,0.0
10.6,1,304.8,101.63,13.09,0.0
10.6,2,295.2,564.14,10.53,180.0
10.6,3,304.8,5.6,1.38,0.0
10.7,1,304.8,102.94,13.14,0.0
10.7,2,295.2,563.06,10.77,180.0
10.7,3,304.8,5.76,1.61,0.0
10.8,1,304.8,104.26,13.14,0.0
10.8,2,295.2,561.97,10.94,180.0
10.8,3,304.8,5.94,1.8,0.0
10.9,1,304.8,105.57,13.09,0.0
10.9,2,295.2,560.86,11.1,180.0
10.9,3,304.8,6.13,1.98,0.0
11.0,1,304.8,106.87,13.04,0.0
11.0,2,295.2,559.73,11.28,180.0
11.0,3,304.8,6.35,2.15,0.0
11.1,1,304.8,108.19,13.16,0.0
11.1,2,295.2,558.59,11.47,180.0
11.1,3,304.8,6.58,2.35,0.0
11.2,1,304.8,109.5,13.15,0.0
11.2,2,298.4,557.42,11.61,180.0
11.2,3,304.8,6.84,2.53,0.0
11.3,1,304.8,110.81,13.06,0.0
11.3,2,298.4,556.24,11.81,180.0
11.3,3,304.8,7.11,2.77,0.0
11.4,1,304.8,112.12,13.16,0.0
11.4,2,298.4,555.04,12.01,180.0
11.4,3,304.8,7.41,2.95,0.0
11.5,1,304.8,113.43,13.09,0.0
11.5,2,298.4,553.82,12.21,180.0
11.5,3,304.8,7.72,3.14,0.0
11.6,1,304.8,114.75,13.13,0.0
11.6,2,298.4,552.58,12.41,180.0
11.6,3,304.8,8.05,3.27,0.0
11.7,1,304.8,116.06,13.12,0.0
11.7,2,298.4,551.32,12.61,180.0
11.7,3,304.8,8.4,3.51,0.0
11.8,1,304.8,117.36,13.06,0.0
11.8,2,298.4,550.04,12.76,180.0
11.8,3,304.8,8.77,3.74,0.0
11.9,1,304.8,118.67,13.07,0.0
11.9,2,298.4,548.74,13.0,180.0
11.9,3,304.8,9.17,3.94,0.0
12.0,1,304.8,119.98,13.11,0.0
12.0,2,298.4,547.42,13.21,180.0
12.0,3,304.8,9.59,4.18,0.0
12.1,1,304.8,121.29,13.04,0.0
12.1,2,298.4,546.08,13.36,180.0
12.1,3,304.8,10.02,4.32,0.0
12.2,1,304.8,122.6,13.14,0.0
12.2,2,298.4,544.73,13.51,180.0
12.2,3,304.8,10.47,4.53,0.0
12.3,1,304.8,123.91,13.06,0.0
12.3,2,298.4,543.36,13.72,180.0
12.3,3,304.8,10.94,4.68,0.0
12.4,1,304.8,125.22,13.15,0.0
12.4,2,298.4,541.97,13.96,180.0
12.4,3,304.8,11.42,4.85,0.0
12.5,1,304.8,126.54,13.15,0.0
12.5,2,298.4,540.55,14.12,180.0
12.5,3,304.8,11.92,5.01,0.0
12.6,1,304.8,127.85,13.13,0.0
12.6,2,298.4,539.12,14.3,180.0
12.6,3,304.8,12.45,5.25,0.0
12.7,1,304.8,129.16,13.07,0.0
12.7,2,298.4,537.68,14.45,180.0
12.7,3,304.8,12.99,5.4,0.0
12.8,1,304.8,130.47,13.13,0.0
12.8,2,298.4,536.21,14.71,180.0
12.8,3,304.8,13.55,5.61,0.0
12.9,1,304.8,131.78,13.14,0.0
12.9,2,298.4,534.72,14.89,180.0
12.9,3,304.8,14.13,5.75,0.0
13.0,1,304.8,133.09,13.12,0.0
13.0,2,298.4,533.23,14.89,180.0
13.0,3,304.8,14.72,5.9,0.0
